param,kernel,ls_bounds,acquisition,kappa,noise,b_rec,H_rec,pred_strw,gt_strw,gt_sig,dist_to_strong,in_strong_zone,gt_above_30,length_scales
b_dH_R,matern,adaptive,ucb,1.0,0.001,4.959,14.496,33.57,31.62,0.028,0.0656,True,True,"[np.float64(0.311), np.float64(1.147), np.float64(3.0)]"
b_dH_R,matern,adaptive,ucb,1.0,0.003,4.279,15.447,32.86,31.95,0.0152,0.046,True,True,"[np.float64(0.892), np.float64(1.567), np.float64(0.293)]"
b_dH_R,matern,adaptive,ucb,2.0,2.818553756278192e-05,2.642,12.145,32.24,24.09,0.1076,0.2347,False,False,"[np.float64(0.302), np.float64(1.149), np.float64(3.0)]"
b_dH_R,matern,adaptive,ucb,2.0,0.0001,2.537,12.01,32.12,23.63,0.109,0.2496,False,False,"[np.float64(0.303), np.float64(1.148), np.float64(3.0)]"
b_dH_R,matern,adaptive,ucb,2.0,0.0003,2.553,12.048,32.06,23.7,0.1084,0.2474,False,False,"[np.float64(0.304), np.float64(1.147), np.float64(3.0)]"
b_dH_R,matern,adaptive,ucb,2.0,0.001,2.553,12.134,31.81,23.69,0.1071,0.2474,False,False,"[np.float64(0.311), np.float64(1.147), np.float64(3.0)]"
b_dH_R,matern,adaptive,ucb,2.0,0.003,4.349,15.405,32.84,31.9,0.0174,0.0567,True,True,"[np.float64(0.892), np.float64(1.567), np.float64(0.293)]"
b_dH_R,matern,adaptive,ucb,3.0,2.818553756278192e-05,2.424,12.026,31.92,23.14,0.1065,0.2658,False,False,"[np.float64(0.302), np.float64(1.149), np.float64(3.0)]"
b_dH_R,matern,adaptive,ucb,3.0,0.0001,2.48,12.007,32.02,23.38,0.1082,0.2577,False,False,"[np.float64(0.303), np.float64(1.148), np.float64(3.0)]"
b_dH_R,matern,adaptive,ucb,3.0,0.0003,2.61,12.041,32.08,23.95,0.109,0.2392,False,False,"[np.float64(0.304), np.float64(1.147), np.float64(3.0)]"
b_dH_R,matern,adaptive,ucb,3.0,0.001,2.465,12.08,31.59,23.31,0.1064,0.2598,False,False,"[np.float64(0.311), np.float64(1.147), np.float64(3.0)]"
b_dH_R,matern,adaptive,ucb,3.0,0.003,4.489,15.342,32.76,31.73,0.0209,0.0517,True,True,"[np.float64(0.892), np.float64(1.567), np.float64(0.293)]"
b_dH_R,matern,tight,ei,,2.818553756278192e-05,4.878,15.034,34.28,31.41,0.0342,0.0727,True,True,"[np.float64(0.302), np.float64(1.148), np.float64(2.0)]"
b_dH_R,matern,tight,ei,,0.0001,4.905,14.959,34.22,31.46,0.0348,0.0713,True,True,"[np.float64(0.302), np.float64(1.148), np.float64(2.0)]"
b_dH_R,matern,tight,ei,,0.0003,4.87,14.784,34.11,31.71,0.0299,0.0589,True,True,"[np.float64(0.304), np.float64(1.147), np.float64(2.0)]"
b_dH_R,matern,tight,ei,,0.001,4.881,14.666,33.68,31.76,0.0269,0.0565,True,True,"[np.float64(0.311), np.float64(1.146), np.float64(2.0)]"
b_dH_R,matern,tight,ei,,0.003,4.216,15.493,32.88,31.97,0.0129,0.0361,True,True,"[np.float64(0.892), np.float64(1.567), np.float64(0.293)]"
b_dH_R,matern,tight,ucb,1.0,2.818553756278192e-05,4.962,14.549,34.14,31.62,0.0289,0.0662,True,True,"[np.float64(0.302), np.float64(1.148), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,1.0,0.0001,5.004,14.653,34.04,31.52,0.0335,0.0733,True,True,"[np.float64(0.302), np.float64(1.148), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,1.0,0.0003,4.99,14.502,33.91,31.57,0.0298,0.07,True,True,"[np.float64(0.304), np.float64(1.147), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,1.0,0.001,4.965,14.166,33.47,31.41,0.0342,0.0731,True,True,"[np.float64(0.311), np.float64(1.146), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,1.0,0.003,4.229,15.565,32.88,31.82,0.0101,0.0349,True,True,"[np.float64(0.892), np.float64(1.567), np.float64(0.293)]"
b_dH_R,matern,tight,ucb,2.0,2.818553756278192e-05,2.511,12.041,32.1,23.51,0.1079,0.2533,False,False,"[np.float64(0.302), np.float64(1.148), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,2.0,0.0001,2.547,12.014,32.09,23.68,0.109,0.2482,False,False,"[np.float64(0.302), np.float64(1.148), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,2.0,0.0003,2.584,12.087,32.06,23.83,0.108,0.2428,False,False,"[np.float64(0.304), np.float64(1.147), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,2.0,0.001,2.535,12.049,31.69,23.62,0.1081,0.2498,False,False,"[np.float64(0.311), np.float64(1.146), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,2.0,0.003,4.368,15.413,32.83,31.85,0.0172,0.0579,True,True,"[np.float64(0.892), np.float64(1.567), np.float64(0.293)]"
b_dH_R,matern,tight,ucb,3.0,2.818553756278192e-05,2.616,12.009,32.15,23.99,0.1097,0.2384,False,False,"[np.float64(0.302), np.float64(1.148), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,3.0,0.0001,2.504,12.033,32.04,23.48,0.108,0.2544,False,False,"[np.float64(0.302), np.float64(1.148), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,3.0,0.0003,2.63,12.019,32.03,24.05,0.1096,0.2363,False,False,"[np.float64(0.304), np.float64(1.147), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,3.0,0.001,2.593,12.029,31.76,23.88,0.1091,0.2416,False,False,"[np.float64(0.311), np.float64(1.146), np.float64(2.0)]"
b_dH_R,matern,tight,ucb,3.0,0.003,4.478,15.404,32.77,31.64,0.0186,0.0479,True,True,"[np.float64(0.892), np.float64(1.567), np.float64(0.293)]"
b_dH_R,matern,loose,ei,,2.818553756278192e-05,4.857,15.029,34.29,31.47,0.0335,0.0701,True,True,"[np.float64(0.302), np.float64(1.149), np.float64(10.0)]"
b_dH_R,matern,loose,ei,,0.0001,4.823,14.851,34.24,31.75,0.0296,0.056,True,True,"[np.float64(0.303), np.float64(1.149), np.float64(10.0)]"
b_dH_R,matern,loose,ei,,0.0003,4.829,14.873,34.11,31.72,0.0303,0.0579,True,True,"[np.float64(0.304), np.float64(1.148), np.float64(10.0)]"
b_dH_R,matern,loose,ei,,0.001,4.887,14.577,33.66,31.76,0.025,0.0557,True,True,"[np.float64(0.311), np.float64(1.147), np.float64(10.0)]"
b_dH_R,matern,loose,ei,,0.003,4.147,15.516,32.88,32.01,0.0115,0.0269,True,True,"[np.float64(0.892), np.float64(1.567), np.float64(0.293)]"
b_dH_R,matern,loose,ucb,1.0,2.818553756278192e-05,5.004,14.478,34.03,31.54,0.0304,0.072,True,True,"[np.float64(0.302), np.float64(1.149), np.float64(10.0)]"
b_dH_R,matern,loose,ucb,1.0,0.0001,4.954,14.536,34.1,31.64,0.0282,0.0649,True,True,"[np.float64(0.303), np.float64(1.149), np.float64(10.0)]"
